antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Squawkabilly ex PAL 169'}),frozenset({'Fezandipiti ex SFA 38'}),0.4,0.84,0.4,1.0,1.1904761904761905,1.0,0.064,inf,0.26666666666666666,0.4761904761904762,1.0,0.7380952380952381
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Squawkabilly ex PAL 169'}),0.84,0.4,0.4,0.4761904761904762,1.1904761904761905,1.0,0.064,1.1454545454545455,0.9999999999999998,0.4761904761904762,0.126984126984127,0.7380952380952381
frozenset({'Radiant Greninja ASR 46'}),frozenset({'Iron Bundle PAR 56'}),0.48,0.4,0.32,0.6666666666666667,1.6666666666666667,1.0,0.128,1.8000000000000003,0.7692307692307692,0.5714285714285714,0.44444444444444453,0.7333333333333334
frozenset({'Iron Bundle PAR 56'}),frozenset({'Radiant Greninja ASR 46'}),0.4,0.48,0.32,0.7999999999999999,1.6666666666666665,1.0,0.128,2.599999999999999,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.7333333333333334
frozenset({'Mew ex MEW 151'}),frozenset({'Squawkabilly ex PAL 169'}),0.36,0.4,0.32,0.888888888888889,2.2222222222222223,1.0,0.17600000000000002,5.400000000000003,0.859375,0.7272727272727273,0.8148148148148149,0.8444444444444444
frozenset({'Squawkabilly ex PAL 169'}),frozenset({'Mew ex MEW 151'}),0.4,0.36,0.32,0.7999999999999999,2.2222222222222223,1.0,0.17600000000000002,3.199999999999999,0.9166666666666667,0.7272727272727273,0.6874999999999999,0.8444444444444444
"frozenset({'Radiant Greninja ASR 46', 'Fezandipiti ex SFA 38'})",frozenset({'Iron Bundle PAR 56'}),0.48,0.4,0.32,0.6666666666666667,1.6666666666666667,1.0,0.128,1.8000000000000003,0.7692307692307692,0.5714285714285714,0.44444444444444453,0.7333333333333334
"frozenset({'Radiant Greninja ASR 46', 'Iron Bundle PAR 56'})",frozenset({'Fezandipiti ex SFA 38'}),0.32,0.84,0.32,1.0,1.1904761904761905,1.0,0.05120000000000002,inf,0.23529411764705893,0.38095238095238104,1.0,0.6904761904761905
"frozenset({'Iron Bundle PAR 56', 'Fezandipiti ex SFA 38'})",frozenset({'Radiant Greninja ASR 46'}),0.4,0.48,0.32,0.7999999999999999,1.6666666666666665,1.0,0.128,2.599999999999999,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.7333333333333334
frozenset({'Radiant Greninja ASR 46'}),"frozenset({'Iron Bundle PAR 56', 'Fezandipiti ex SFA 38'})",0.48,0.4,0.32,0.6666666666666667,1.6666666666666667,1.0,0.128,1.8000000000000003,0.7692307692307692,0.5714285714285714,0.44444444444444453,0.7333333333333334
frozenset({'Fezandipiti ex SFA 38'}),"frozenset({'Radiant Greninja ASR 46', 'Iron Bundle PAR 56'})",0.84,0.32,0.32,0.380952380952381,1.1904761904761905,1.0,0.05120000000000002,1.0984615384615384,1.0000000000000002,0.38095238095238104,0.08963585434173674,0.6904761904761905
frozenset({'Iron Bundle PAR 56'}),"frozenset({'Radiant Greninja ASR 46', 'Fezandipiti ex SFA 38'})",0.4,0.48,0.32,0.7999999999999999,1.6666666666666665,1.0,0.128,2.599999999999999,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.7333333333333334
"frozenset({'Mew ex MEW 151', 'Squawkabilly ex PAL 169'})",frozenset({'Fezandipiti ex SFA 38'}),0.32,0.84,0.32,1.0,1.1904761904761905,1.0,0.05120000000000002,inf,0.23529411764705893,0.38095238095238104,1.0,0.6904761904761905
"frozenset({'Mew ex MEW 151', 'Fezandipiti ex SFA 38'})",frozenset({'Squawkabilly ex PAL 169'}),0.36,0.4,0.32,0.888888888888889,2.2222222222222223,1.0,0.17600000000000002,5.400000000000003,0.859375,0.7272727272727273,0.8148148148148149,0.8444444444444444
"frozenset({'Squawkabilly ex PAL 169', 'Fezandipiti ex SFA 38'})",frozenset({'Mew ex MEW 151'}),0.4,0.36,0.32,0.7999999999999999,2.2222222222222223,1.0,0.17600000000000002,3.199999999999999,0.9166666666666667,0.7272727272727273,0.6874999999999999,0.8444444444444444
frozenset({'Mew ex MEW 151'}),"frozenset({'Squawkabilly ex PAL 169', 'Fezandipiti ex SFA 38'})",0.36,0.4,0.32,0.888888888888889,2.2222222222222223,1.0,0.17600000000000002,5.400000000000003,0.859375,0.7272727272727273,0.8148148148148149,0.8444444444444444
frozenset({'Squawkabilly ex PAL 169'}),"frozenset({'Mew ex MEW 151', 'Fezandipiti ex SFA 38'})",0.4,0.36,0.32,0.7999999999999999,2.2222222222222223,1.0,0.17600000000000002,3.199999999999999,0.9166666666666667,0.7272727272727273,0.6874999999999999,0.8444444444444444
frozenset({'Fezandipiti ex SFA 38'}),"frozenset({'Mew ex MEW 151', 'Squawkabilly ex PAL 169'})",0.84,0.32,0.32,0.380952380952381,1.1904761904761905,1.0,0.05120000000000002,1.0984615384615384,1.0000000000000002,0.38095238095238104,0.08963585434173674,0.6904761904761905
