antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Earthen Vessel PAR 163'}),"frozenset({""Boss's Orders PAL 172"", 'Night Stretcher SFA 61'})",0.6284403669724771,0.7155963302752294,0.45871559633027525,0.7299270072992701,1.0200262025079543,1.0,0.009005975927952214,1.053062236548475,0.05283950617283963,0.5181347150259068,0.05038850953614302,0.6854763241624555
frozenset({'Night Stretcher SFA 61'}),"frozenset({'Earthen Vessel PAR 163', ""Boss's Orders PAL 172""})",0.7568807339449541,0.5825688073394495,0.45871559633027525,0.6060606060606061,1.0403245048914342,1.0,0.017780489857756154,1.059633027522936,0.1594339622641516,0.5208333333333334,0.05627705627705643,0.696731090431878
"frozenset({'Earthen Vessel PAR 163', ""Boss's Orders PAL 172""})",frozenset({'Ultra Ball SVI 196'}),0.5825688073394495,0.8440366972477065,0.5091743119266054,0.8740157480314961,1.0355186579938376,1.0,0.017464859860281068,1.2379587155963299,0.08217008217008191,0.5549999999999999,0.19221861973135687,0.7386383087983567
"frozenset({""Boss's Orders PAL 172"", 'Ultra Ball SVI 196'})",frozenset({'Earthen Vessel PAR 163'}),0.7981651376146789,0.6284403669724771,0.5091743119266054,0.6379310344827586,1.0151019380820538,1.0,0.0075751199393989666,1.0262123197903013,0.073710073710073,0.5549999999999999,0.025542784163473647,0.7240750062924741
frozenset({'Earthen Vessel PAR 163'}),"frozenset({""Boss's Orders PAL 172"", 'Ultra Ball SVI 196'})",0.6284403669724771,0.7981651376146789,0.5091743119266054,0.8102189781021897,1.0151019380820538,1.0,0.0075751199393989666,1.0635144671841914,0.04004004004003965,0.5549999999999999,0.059721300597212555,0.7240750062924741
frozenset({'Ultra Ball SVI 196'}),"frozenset({'Earthen Vessel PAR 163', ""Boss's Orders PAL 172""})",0.8440366972477065,0.5825688073394495,0.5091743119266054,0.6032608695652173,1.0355186579938376,1.0,0.017464859860281068,1.0521553349252228,0.21992580816110172,0.5549999999999999,0.04956999522216902,0.7386383087983567
"frozenset({""Boss's Orders PAL 172"", 'Nest Ball SVI 181'})",frozenset({'Hisuian Heavy Ball ASR 146'}),0.9036697247706422,0.48623853211009177,0.4541284403669725,0.5025380710659898,1.033521693324394,1.0,0.014729399882164762,1.0327653997378767,0.3367003367003359,0.4852941176470589,0.03172588832487295,0.7182501676084665
"frozenset({""Boss's Orders PAL 172"", 'Hisuian Heavy Ball ASR 146'})",frozenset({'Nest Ball SVI 181'}),0.45871559633027525,0.9495412844036697,0.4541284403669725,0.99,1.0426086956521738,1.0,0.018559043851527623,5.045871559633026,0.07550077041602456,0.47596153846153844,0.8018181818181818,0.7341304347826088
frozenset({'Nest Ball SVI 181'}),"frozenset({""Boss's Orders PAL 172"", 'Hisuian Heavy Ball ASR 146'})",0.9495412844036697,0.45871559633027525,0.4541284403669725,0.4782608695652174,1.0426086956521738,1.0,0.018559043851527623,1.0374617737003058,0.8099173553718992,0.47596153846153844,0.03610906411201177,0.7341304347826088
frozenset({'Hisuian Heavy Ball ASR 146'}),"frozenset({""Boss's Orders PAL 172"", 'Nest Ball SVI 181'})",0.48623853211009177,0.9036697247706422,0.4541284403669725,0.9339622641509433,1.033521693324394,1.0,0.014729399882164762,1.4587155963302727,0.06313131313131295,0.4852941176470589,0.31446540880503027,0.7182501676084665
